name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,board,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID,Custom,Voucher,Artist
"Land Tax",1,"Enchantment",W,"leg","26",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Enchantments: Enabler;Strict Noncreature: Enabler","",-1,false,false,"Brian Snõddy"
"On Thin Ice",1,"Snow Enchantment - Aura",W,"mh1","20",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Blink: Payoff;Strict Enchantments: Enabler;Strict Noncreature: Enabler","",72412,false,false,"Lucas Graciano"
"Ossification",2,"Enchantment - Aura",W,"one","26",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Blink: Payoff;Strict Enchantments: Enabler;Strict Noncreature: Enabler","",106267,false,false,"Nino Vecia"
"Ephemerate",1,"Instant",W,"mh1","7",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Blink: Enabler;Strict Noncreature: Enabler","",72386,false,false,"Bastien L. Deharme"
"Seam Rip",1,"Enchantment",W,"eoe","34",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Blink: Payoff;Strict Enchantments: Enabler;Strict Noncreature: Enabler","",142681,false,false,"Sam Guay"
"Timeless Dragon",5,"Creature - Dragon",W,"mh2","35",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Discard: Enabler;Strict Graveyard Cast: Enabler;Strict Graveyard Types: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler;Strict Reanimator: Enabler","",90439,false,false,"Anastasia Ovchinnikova"
"Solitude",5,"Creature - Elemental Incarnation",W,"mh2","32",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Blink: Payoff;Strict Lifegain: Enabler","",90433,false,false,"Evan Shipard"
"Prismatic Ending",1,"Sorcery",W,"mh2","25",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Five-Color Domain: Payoff;Strict Noncreature: Enabler","",90419,false,false,"John Stanko"
"Lion Sash",2,"Artifact Creature - Equipment Cat",W,"neo","26",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Artifacts: Enabler;Strict Counters: Enabler;Strict Counters: Payoff;Strict Equipment: Enabler","",96962,false,false,"Yongjae Choi"
"Collective Resistance",2,"Instant",G,"mh3","147",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Noncreature: Enabler","",126311,false,false,"Raoul Vitale"
"Esper Sentinel",1,"Artifact Creature - Human Soldier",W,"mh2","12",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Artifacts: Enabler;Strict Draw: Enabler;Strict Humans: Enabler;Strict Power Matters: Payoff","",90393,false,false,"Eric Deschamps"
"Zephyrim",4,"Creature - Human Warrior",W,"40k","20",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Humans: Enabler","",108512,false,false,"Anna Steinbauer"
"Reprobation",2,"Enchantment - Aura",W,"mh1","23",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Enchantments: Enabler;Strict Noncreature: Enabler","",72418,false,false,"Igor Kieryluk"
"Sheltered by Ghosts",2,"Enchantment - Aura",W,"dsk","30",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Blink: Payoff;Strict Enchantments: Enabler;Strict Noncreature: Enabler","",130191,false,false,"Mirko Failoni"
"Journey to Nowhere",2,"Enchantment",W,"zen","14",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Blink: Payoff;Strict Enchantments: Enabler;Strict Noncreature: Enabler","",34390,false,false,"Warren Mahy"
"Elite Spellbinder",3,"Creature - Human Cleric",W,"stx","17",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Blink: Payoff;Strict Humans: Enabler","",88511,false,false,"Ryan Pancoast"
"Planar Disruption",2,"Enchantment - Aura",W,"one","28",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Enchantments: Enabler;Strict Noncreature: Enabler","",106271,false,false,"Campbell White"
"Sevinne's Reclamation",3,"Sorcery",W,"c19","5",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Graveyard Cast: Payoff;Strict Noncreature: Enabler;Strict Reanimator: Payoff","",77064,false,false,"Zoltan Boros"
"Aang's Iceberg",3,"Enchantment",W,"tla","5",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Blink: Payoff;Strict Enchantments: Enabler;Strict Noncreature: Enabler","",144486,false,false,"Matteo Bassini"
"Touch the Spirit Realm",3,"Enchantment",W,"neo","40",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Blink: Enabler;Strict Blink: Payoff;Strict Enchantments: Enabler;Strict Noncreature: Enabler","",96994,false,false,"Marta Nael"
"Dusk Legion Duelist",2,"Creature - Vampire Soldier",W,"mom","11",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Draw: Enabler","",109816,false,false,"Ryan Valle"
"Witch Enchanter",4,"Creature - Human Warlock",W,"mh3","239",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Blink: Payoff;Strict Humans: Enabler","",126501,false,false,"Tyler Walpole"
"Éomer, King of Rohan",5,"Legendary Creature - Human Noble",RW,"ltc","52",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Function: Value;Strict Blink: Payoff;Strict Counters: Enabler;Strict Damage: Enabler;Strict Humans: Enabler;Strict Humans: Payoff;Strict Power Matters: Payoff","",113136,false,false,"Leonardo Borazio"
"Armageddon",4,"Sorcery",W,"lea","2",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Noncreature: Enabler","",-1,false,false,"Jesper Myrfors"
"Swift Reconfiguration",1,"Enchantment - Aura",W,"nec","10",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Enchantments: Enabler;Strict Noncreature: Enabler","",-1,false,false,"Nicholas Gregory"
"Knight of the White Orchid",2,"Creature - Human Knight",W,"sld","1045",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Humans: Enabler","",-1,false,false,"Victor Adame Minguez"
"Voice of Victory",2,"Creature - Human Bard",W,"tdm","33",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Humans: Enabler;Strict Taxes: Enabler","",139011,false,false,"Joshua Cairos"
"Cloud, Midgar Mercenary",2,"Legendary Creature - Human Soldier Mercenary",W,"fin","375",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Equipment: Glue;Strict Humans: Enabler","",141623,false,false,"Maji"
